id,conversation_id,text,context,historical_brand_response,true_intent,expected_action,difficulty_score,notes,human_confirmed
GOLDEN_001,32310_32309,"It's pending since 1.5 months, every support person assuring pickup will be done, nothing happening!",Customer tweet in thread 32310_32309,Did you happen to share your details using the secure link we had shared? (1/2)^CB,general_inquiry,AUTO_HANDLE,0.6,General support query,False
GOLDEN_002,67553_67554,先週末に都内からヤマト運輸さんで返品してますが...受領してないのですかね？商品を間違えたのはAmazonさんですよね、なぜ私から連絡しなきゃいけないなでしょうか？正直お金なんてどうでもいいです。ただただ不快です。私はクレーマーなんですかね...,Customer tweet in thread 67553_67554,（1/2）恐れ入りますが、Twitter上ではお客様のご注文を特定しての確認ができないため、一般的なご案内を返信させて頂きました。解決に至らず申し訳ございません。 EK,general_inquiry,ESCALATE,0.8,Short ambiguous message (< 4 words),True
GOLDEN_003,75888_75884,Yes i did,Customer tweet in thread 75888_75884,"If you have shared your details with us, you should find our correspondence here : Do keep us posted for further support. ^CB",general_inquiry,ESCALATE,0.8,Short ambiguous message (< 4 words),True
GOLDEN_004,75869_75870,"Already did... I hope u guys take care of it properly, coz delivery agency is neither professional nor their the staff. Spoiling your name.",Customer tweet in thread 75869_75870,"I get your concern regarding the delivery of your order. Please don't worry as you've reported it to our support team your concern will be taken care of. Also, as informed we'll have your package delivered to you by 7:00PM. Appreciate your understanding. ^KH",general_inquiry,AUTO_HANDLE,0.6,General support query,False
GOLDEN_005,76020_76018,Quand le livreur t’appelle pour te dire qu’il dépose ton colis dans un café #fail #grosseblague,Customer tweet in thread 76020_76018,"Bonjour, je suis désolé pour cette expérience. Quel était le transporteur en charge de votre colis ?^AR",general_inquiry,AUTO_HANDLE,0.6,General support query,False
GOLDEN_006,19435_19433,"Arriving Today: Your package with Dell KM117 Wireless Keyboard Mouse is out for delivery.Amt: Rs.1,399.",Customer tweet in thread 19435_19433,"When the product is out for delivery, it will be delivered before 8 pm. Kindly wait until then. Do keep us posted. ^AK",delivery_delay,AUTO_HANDLE,0.2,Standard delivery tracking inquiry,True
GOLDEN_007,69724_69722,AMAZON PRIME IS DRAINING MY BANK ACCOUNT PLS HALP,Customer tweet in thread 69724_69722,"Hi, how much were you charged for Amazon Prime? ^KI",account_access,AUTO_HANDLE,0.4,Account login / access issue,True
GOLDEN_008,77482_77480,Hola! En el correo pone que la entrega sería el día 29 de noviembre. Hice la compra el día 26. lo está mirando. Gracias!,Customer tweet in thread 77482_77480,"Con mucho gusto, mantennos al tanto de la entrega de tu pedido en caso de no recibir respuesta por parte de . ¡Saludos! ^FZ",general_inquiry,AUTO_HANDLE,0.6,General support query,False
GOLDEN_009,89104_89102,"y do u guys do business w to do large shippings!? They didn't even deliver my package as expected! My folks were home &amp; siblings said they saw them outside &amp; they didn't deliver anything! Yet, got an email saying: it was ""attempted"" but my box was full/large package",Customer tweet in thread 89104_89102,"I'm sorry to hear of this. Have you contacted us directly about this? If so, what were you advised? ^KI",delivery_delay,AUTO_HANDLE,0.2,Standard delivery tracking inquiry,True
GOLDEN_010,59520_59518,When will iPhone X will be back in stock?,Customer tweet in thread 59520_59518,on the product page and you'll receive an email once the item is back in stock. 2/2 ^HD,general_inquiry,AUTO_HANDLE,0.6,General support query,False
