conversation_id,brand,customer_tweet_id,brand_tweet_id,customer_text,brand_text,customer_created_at,brand_created_at
272_269,AmazonHelp,272,269,amazonのfireTVstickが見れない😢,@115770 こんにちは、アマゾン公式です。Fire TV Stickが見れないというのは、どのような状況でしょうか。一般的なトラブルシューティングを記載したヘルプがございますので、ご参照ください。https://t.co/2pbG55qJ7h ET,Wed Nov 22 09:14:39 +0000 2017,Wed Nov 22 09:23:01 +0000 2017
271_273,AmazonHelp,271,273,"@AmazonHelp 電話で対応してもらいましたが改良されませんでした。
保証期間も過ぎてるので買い直しになるんでしょうね。",@115770 カスタマーサービスにてお問い合わせ済みとのことで、お手数をおかけいたしました。リプライいただきありがとうございました。ET,Wed Nov 22 09:30:36 +0000 2017,Wed Nov 22 09:40:27 +0000 2017
274_275,AmazonHelp,274,275,@AmazonHelp こちらこそありがとうございました。,@115770 恐れ入ります。至らない点も多々あるかとは存じますが、今後ともどうぞよろしくお願いします。ET,Wed Nov 22 09:44:04 +0000 2017,Wed Nov 22 10:06:26 +0000 2017
325_324,AmazonHelp,325,324,amazonプライムビデオ、再生エラーが多いです,@115792 ご不便をおかけしております。アプリをご利用でしょうか。強制停止&gt;端末の再起動にて改善する場合がございますので、お試しください。改善しない場合は、状況を確認しご案内させていただきますのでこちらからカスタマーサービスまでご連絡ください。https://t.co/NtNAX2Qh2u ET,Wed Nov 22 08:55:35 +0000 2017,Wed Nov 22 09:06:00 +0000 2017
617_615,AmazonHelp,617,615,Way to drop the ball on customer service @115821 so pissed right now!,"@115820 I'm sorry we've let you down! Without providing any personal information, will you describe the issue? We'd love to help. ^TN",Tue Oct 31 22:16:32 +0000 2017,Tue Oct 31 22:29:00 +0000 2017
616_618,AmazonHelp,616,618,"@AmazonHelp 3 different people have given 3 different answers and I still don't have my order. Says delivered Saturday, was not, I was home all day",@115820 We'd like to take a further look into this with you! Please reach us by phone or chat here: https://t.co/hApLpMlfHN ^AG,Tue Oct 31 23:22:08 +0000 2017,Tue Oct 31 23:28:00 +0000 2017
621_620,AmazonHelp,621,620,@115823 I want my amazon payments account CLOSED.  dm me please.,"@115822 I am unable to affect your account via Twitter. For real time support, phone or chat use this link: https://t.co/hApLpMlfHN ^CH",Tue Oct 31 22:19:34 +0000 2017,Tue Oct 31 22:28:34 +0000 2017
624_622,AmazonHelp,624,622,"@115825 also, beim Addams Family-Film in Prime sind Bild und Ton nicht wirklich synchron. Wie kommt's?","@115824 Hi, wir erhalten die Filme/Serien so vom jeweiligen Studio. Gebe ich aber direkt als Feedback dorthin weiter. Gruß ^JS",Tue Oct 31 22:12:37 +0000 2017,Tue Oct 31 22:28:00 +0000 2017
623_625,AmazonHelp,623,625,"@AmazonHelp Okay, danke für die Info",@115824 Wir haben zu danken. Schönen Abend noch. ^JS,Tue Oct 31 22:32:07 +0000 2017,Tue Oct 31 22:34:32 +0000 2017
628_626,AmazonHelp,628,626,@115828 How about you guys figure out my Xbox One X project Scorpio edition first. No expected delivery or shipping date and it’s only a week away,@115826 I'm sorry for the wait. You'll receive an email as soon as we have an estimated delivery date. ^FJ,Tue Oct 31 21:57:24 +0000 2017,Tue Oct 31 22:28:00 +0000 2017
627_629,AmazonHelp,627,629,@AmazonHelp @115826 Yeah this is crazy we’re less than a week away and still no Shipping Information on something that we Pre-ordered back in August,@115827 Thanks for your patience. ^KM,Wed Nov 01 12:50:18 +0000 2017,Wed Nov 01 12:53:34 +0000 2017
632_631,AmazonHelp,632,631,"@115830 my package was ‘accidentally’ opened.. 4 items missing worth £97.
You need better delivery drivers!! https://t.co/f6SaVBSMqM",@115829 I'm sorry your order arrived in this condition! Please reach out to us for available options: https://t.co/JzP7hlA23B ^DG,Tue Oct 31 21:34:58 +0000 2017,Tue Oct 31 22:27:00 +0000 2017
634_633,AmazonHelp,634,633,@115821 @AmazonHelp why is my order at my local courier for the last 6 days and still hasn’t been delivered to me?? Over 1 week late 😡,@115831 I'm sorry for the wait. Please reach out to us so we can take a closer look at this delivery: https://t.co/JzP7hlA23B ^SH,Tue Oct 31 21:39:58 +0000 2017,Tue Oct 31 22:26:37 +0000 2017
636_635,AmazonHelp,636,635,"Thanks for the style advice, @115833 look ...I think? #Halloween2017 #flamingo https://t.co/XvI54La043",@115832 Alexa says both styles are working for you! My vote goes to the Flamingo look! ^SE,Tue Oct 31 22:05:36 +0000 2017,Tue Oct 31 22:26:07 +0000 2017
638_637,AmazonHelp,638,637,@AmazonHelp Hi ready for some help,@115834 Were you able to reach us at the link DW provided? ^TR,Tue Oct 31 22:19:56 +0000 2017,Tue Oct 31 22:26:07 +0000 2017
640_639,AmazonHelp,640,639,@AmazonHelp Is the Echo Show no longer supported?,"@115834 The Echo Show is supported, please reach us for some live troubleshooting at your convenience: https://t.co/hApLpMlfHN ^DW",Tue Oct 31 01:03:01 +0000 2017,Tue Oct 31 01:09:35 +0000 2017
643_642,AmazonHelp,643,642,"Bought an @115821 Echo Show and it won’t recognize a single @AmazonHelp account in our household. WTF, guys?","@115834 Oh no, I'm sorry for the issues! For troubleshooting, please check out our Echo Help pages here: https://t.co/a31c4ynHES ^SG",Mon Oct 30 23:44:45 +0000 2017,Tue Oct 31 00:52:39 +0000 2017
